Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed
2378,10-04-2022 16:00,04-10-2022 01:00,10-04-2022 05:57,Ahmedabad,141,VANDALISM,42,M,None,Other Crime,5,Yes,04-07-2022 16:00
2379,12-04-2022 17:00,04-10-2022 02:00,10-04-2022 18:03,Hyderabad,146,CYBERCRIME,22,F,Firearm,Other Crime,6,Yes,15-06-2022 17:00
2380,11-04-2022 07:00,04-10-2022 03:00,10-04-2022 04:06,Ahmedabad,406,FRAUD,78,M,Firearm,Other Crime,19,No,
2381,11-04-2022 13:00,04-10-2022 04:00,10-04-2022 21:39,Mumbai,112,ROBBERY,29,M,Other,Violent Crime,7,No,
2382,11-04-2022 00:00,04-10-2022 05:00,10-04-2022 14:56,Nagpur,387,DRUG OFFENSE,36,F,None,Other Crime,8,No,
2383,12-04-2022 21:00,04-10-2022 06:00,10-04-2022 11:06,Mumbai,304,KIDNAPPING,41,X,Other,Other Crime,10,No,
2384,10-04-2022 08:00,04-10-2022 07:00,10-04-2022 12:04,Chennai,530,CYBERCRIME,61,F,Firearm,Other Crime,2,Yes,20-05-2022 08:00
2385,11-04-2022 21:00,04-10-2022 08:00,10-04-2022 11:35,Indore,259,HOMICIDE,55,X,Poison,Other Crime,12,No,
2386,11-04-2022 23:00,04-10-2022 09:00,10-04-2022 17:57,Nashik,263,VEHICLE - STOLEN,35,M,Knife,Violent Crime,19,No,
2387,11-04-2022 02:00,04-10-2022 10:00,11-04-2022 02:03,Rajkot,343,VEHICLE - STOLEN,36,F,Firearm,Violent Crime,15,No,
2388,12-04-2022 23:00,04-10-2022 11:00,11-04-2022 04:13,Nagpur,501,HOMICIDE,56,X,Firearm,Other Crime,12,Yes,22-03-2024 23:00
2389,12-04-2022 14:00,04-10-2022 12:00,11-04-2022 06:12,Nashik,472,PUBLIC INTOXICATION,60,X,Blunt Object,Other Crime,2,Yes,21-04-2022 14:00
2390,12-04-2022 14:00,04-10-2022 13:00,10-04-2022 18:27,Nagpur,310,DRUG OFFENSE,43,M,None,Other Crime,9,Yes,06-06-2022 14:00
2391,12-04-2022 16:00,04-10-2022 14:00,11-04-2022 08:57,Indore,212,VEHICLE - STOLEN,63,X,Explosives,Violent Crime,12,Yes,01-05-2022 16:00
2392,11-04-2022 12:00,04-10-2022 15:00,11-04-2022 09:03,Bangalore,272,SEXUAL ASSAULT,57,X,Explosives,Violent Crime,17,No,
2393,12-04-2022 17:00,04-10-2022 16:00,11-04-2022 08:36,Surat,180,IDENTITY THEFT,55,M,Knife,Violent Crime,14,No,
2394,11-04-2022 09:00,04-10-2022 17:00,11-04-2022 14:37,Delhi,566,PUBLIC INTOXICATION,10,X,None,Other Crime,17,No,
2395,13-04-2022 06:00,04-10-2022 18:00,11-04-2022 07:56,Thane,579,ILLEGAL POSSESSION,57,X,Other,Other Crime,14,No,
2396,11-04-2022 23:00,04-10-2022 19:00,10-04-2022 22:51,Kolkata,257,FRAUD,41,F,Firearm,Other Crime,6,No,
2397,12-04-2022 21:00,04-10-2022 20:00,10-04-2022 20:48,Hyderabad,182,BURGLARY,35,M,Explosives,Other Crime,10,No,
2398,13-04-2022 02:00,04-10-2022 21:00,11-04-2022 12:30,Bangalore,448,ROBBERY,74,M,Poison,Violent Crime,2,No,
2399,13-04-2022 15:00,04-10-2022 22:00,11-04-2022 01:28,Chennai,508,ILLEGAL POSSESSION,13,F,Poison,Other Crime,10,No,
2400,11-04-2022 12:00,04-10-2022 23:00,11-04-2022 21:17,Kanpur,458,COUNTERFEITING,50,M,Blunt Object,Other Crime,17,Yes,07-06-2022 12:00
2401,11-04-2022 03:00,04-11-2022 00:00,11-04-2022 14:07,Bangalore,199,ASSAULT,12,F,Knife,Violent Crime,1,No,
2402,11-04-2022 12:00,04-11-2022 01:00,11-04-2022 21:38,Kolkata,527,SHOPLIFTING,28,X,None,Other Crime,19,Yes,06-05-2022 12:00
2403,13-04-2022 14:00,04-11-2022 02:00,11-04-2022 09:24,Delhi,529,DRUG OFFENSE,13,M,Knife,Other Crime,8,No,
2404,13-04-2022 11:00,04-11-2022 03:00,11-04-2022 16:32,Nagpur,349,DRUG OFFENSE,63,F,Poison,Other Crime,12,No,
2405,11-04-2022 22:00,04-11-2022 04:00,12-04-2022 01:21,Delhi,537,COUNTERFEITING,79,F,Knife,Other Crime,11,No,
2406,13-04-2022 12:00,04-11-2022 05:00,11-04-2022 07:38,Delhi,494,KIDNAPPING,57,M,Explosives,Other Crime,12,Yes,01-06-2022 12:00
2407,13-04-2022 02:00,04-11-2022 06:00,11-04-2022 11:22,Bangalore,324,ASSAULT,22,F,Explosives,Violent Crime,18,Yes,05-07-2022 02:00
2408,12-04-2022 20:00,04-11-2022 07:00,11-04-2022 08:53,Ahmedabad,187,TRAFFIC VIOLATION,12,M,Other,Traffic Fatality,16,Yes,06-05-2022 20:00
2409,14-04-2022 05:00,04-11-2022 08:00,11-04-2022 19:25,Pune,599,KIDNAPPING,27,M,Other,Other Crime,2,No,
2410,12-04-2022 04:00,04-11-2022 09:00,12-04-2022 07:53,Delhi,358,FIREARM OFFENSE,49,F,None,Fire Accident,14,Yes,18-06-2022 04:00
2411,12-04-2022 02:00,04-11-2022 10:00,11-04-2022 21:25,Bangalore,340,KIDNAPPING,71,F,Explosives,Other Crime,5,Yes,03-05-2022 02:00
2412,11-04-2022 13:00,04-11-2022 11:00,11-04-2022 22:48,Visakhapatnam,331,FRAUD,21,F,None,Other Crime,19,Yes,08-07-2022 13:00
2413,11-04-2022 15:00,04-11-2022 12:00,12-04-2022 00:06,Hyderabad,225,IDENTITY THEFT,65,M,Other,Violent Crime,18,No,
2414,13-04-2022 14:00,04-11-2022 13:00,11-04-2022 16:40,Mumbai,349,BURGLARY,55,M,Poison,Other Crime,6,No,
2415,13-04-2022 22:00,04-11-2022 14:00,12-04-2022 06:44,Meerut,277,VANDALISM,41,X,Explosives,Other Crime,17,No,
2416,11-04-2022 17:00,04-11-2022 15:00,12-04-2022 14:56,Patna,147,CYBERCRIME,74,X,Blunt Object,Other Crime,17,No,
2417,14-04-2022 14:00,04-11-2022 16:00,11-04-2022 22:45,Hyderabad,272,PUBLIC INTOXICATION,72,M,Knife,Other Crime,8,No,
2418,14-04-2022 06:00,04-11-2022 17:00,11-04-2022 23:49,Kanpur,563,ILLEGAL POSSESSION,26,F,Knife,Other Crime,6,No,
2419,13-04-2022 14:00,04-11-2022 18:00,12-04-2022 03:36,Bangalore,159,DRUG OFFENSE,21,X,Poison,Other Crime,16,Yes,19-06-2022 14:00
2420,12-04-2022 01:00,04-11-2022 19:00,11-04-2022 23:13,Kolkata,498,FIREARM OFFENSE,67,M,Other,Fire Accident,5,No,
2421,12-04-2022 09:00,04-11-2022 20:00,12-04-2022 12:28,Kanpur,157,IDENTITY THEFT,11,X,Explosives,Violent Crime,6,Yes,18-05-2022 09:00
2422,12-04-2022 07:00,04-11-2022 21:00,12-04-2022 04:34,Nagpur,255,DOMESTIC VIOLENCE,41,X,Explosives,Violent Crime,17,Yes,24-05-2022 07:00
2423,12-04-2022 12:00,04-11-2022 22:00,12-04-2022 13:50,Chennai,272,VANDALISM,62,X,None,Other Crime,14,No,
2424,12-04-2022 19:00,04-11-2022 23:00,11-04-2022 23:59,Ahmedabad,482,BURGLARY,58,M,Firearm,Other Crime,5,Yes,20-05-2022 19:00
2425,12-04-2022 18:00,04-12-2022 00:00,12-04-2022 04:11,Bangalore,417,SHOPLIFTING,41,X,Other,Other Crime,10,Yes,26-05-2022 18:00
2426,13-04-2022 13:00,04-12-2022 01:00,12-04-2022 06:55,Ahmedabad,370,SEXUAL ASSAULT,17,X,Blunt Object,Violent Crime,14,No,
2427,13-04-2022 21:00,04-12-2022 02:00,12-04-2022 19:55,Lucknow,464,SEXUAL ASSAULT,53,X,Firearm,Violent Crime,10,No,
2428,12-04-2022 14:00,04-12-2022 03:00,12-04-2022 23:40,Patna,327,SEXUAL ASSAULT,15,F,Explosives,Violent Crime,12,Yes,24-02-2023 14:00
2429,13-04-2022 04:00,04-12-2022 04:00,12-04-2022 08:09,Chennai,528,IDENTITY THEFT,54,X,Other,Violent Crime,16,No,
2430,12-04-2022 15:00,04-12-2022 05:00,13-04-2022 03:30,Nagpur,475,CYBERCRIME,72,F,Blunt Object,Other Crime,7,No,
2431,15-04-2022 01:00,04-12-2022 06:00,13-04-2022 02:15,Delhi,228,COUNTERFEITING,78,M,Knife,Other Crime,8,No,
2432,15-04-2022 02:00,04-12-2022 07:00,13-04-2022 01:14,Kalyan,206,TRAFFIC VIOLATION,29,X,Poison,Traffic Fatality,9,Yes,21-04-2022 02:00
2433,13-04-2022 02:00,04-12-2022 08:00,13-04-2022 04:02,Pune,408,FRAUD,27,F,Poison,Other Crime,17,Yes,01-05-2022 02:00
2434,12-04-2022 19:00,04-12-2022 09:00,12-04-2022 10:04,Surat,408,ROBBERY,67,X,Other,Violent Crime,2,Yes,17-05-2022 19:00
2435,14-04-2022 20:00,04-12-2022 10:00,13-04-2022 04:08,Indore,223,COUNTERFEITING,52,F,Poison,Other Crime,2,No,
2436,13-04-2022 16:00,04-12-2022 11:00,13-04-2022 03:35,Delhi,110,VEHICLE - STOLEN,55,X,Poison,Violent Crime,11,Yes,20-05-2022 16:00
2437,12-04-2022 19:00,04-12-2022 12:00,12-04-2022 18:16,Delhi,508,PUBLIC INTOXICATION,53,X,Other,Other Crime,3,Yes,18-04-2022 19:00
2438,13-04-2022 12:00,04-12-2022 13:00,13-04-2022 00:50,Meerut,505,CYBERCRIME,33,X,Blunt Object,Other Crime,19,No,
2439,14-04-2022 19:00,04-12-2022 14:00,13-04-2022 06:35,Bangalore,119,EXTORTION,56,X,Explosives,Other Crime,1,No,
2440,15-04-2022 01:00,04-12-2022 15:00,12-04-2022 23:54,Chennai,230,TRAFFIC VIOLATION,30,M,Firearm,Traffic Fatality,4,Yes,05-05-2022 01:00
2441,14-04-2022 17:00,04-12-2022 16:00,12-04-2022 21:35,Pune,493,EXTORTION,32,F,Explosives,Other Crime,1,Yes,08-06-2022 17:00
2442,13-04-2022 11:00,04-12-2022 17:00,13-04-2022 08:49,Pune,453,ROBBERY,29,F,Blunt Object,Violent Crime,8,Yes,27-07-2022 11:00
2443,14-04-2022 19:00,04-12-2022 18:00,13-04-2022 04:51,Mumbai,255,DOMESTIC VIOLENCE,48,F,None,Violent Crime,17,Yes,08-07-2022 19:00
2444,15-04-2022 02:00,04-12-2022 19:00,12-04-2022 22:07,Lucknow,576,FIREARM OFFENSE,70,M,Explosives,Fire Accident,13,Yes,30-04-2022 02:00
2445,15-04-2022 01:00,04-12-2022 20:00,13-04-2022 09:31,Delhi,125,DOMESTIC VIOLENCE,12,F,Firearm,Violent Crime,15,No,
2446,13-04-2022 22:00,04-12-2022 21:00,12-04-2022 21:04,Bangalore,444,ROBBERY,76,F,None,Violent Crime,18,Yes,01-06-2022 22:00
2447,13-04-2022 10:00,04-12-2022 22:00,13-04-2022 09:38,Jaipur,236,ARSON,36,M,Explosives,Fire Accident,1,No,
2448,15-04-2022 14:00,04-12-2022 23:00,13-04-2022 07:00,Hyderabad,452,IDENTITY THEFT,67,X,Knife,Violent Crime,10,No,
2449,14-04-2022 12:00,04-13-2022 00:00,13-04-2022 14:09,Lucknow,146,SEXUAL ASSAULT,26,X,Other,Violent Crime,16,No,
2450,14-04-2022 21:00,04-13-2022 01:00,13-04-2022 13:57,Agra,130,DOMESTIC VIOLENCE,37,F,Firearm,Violent Crime,10,No,
2451,14-04-2022 21:00,04-13-2022 02:00,13-04-2022 21:26,Kanpur,194,VEHICLE - STOLEN,75,X,Blunt Object,Violent Crime,10,No,
2452,15-04-2022 13:00,04-13-2022 03:00,13-04-2022 16:29,Pune,202,ROBBERY,22,M,Other,Violent Crime,3,No,
2453,15-04-2022 03:00,04-13-2022 04:00,13-04-2022 17:32,Delhi,281,KIDNAPPING,10,F,Poison,Other Crime,12,Yes,06-06-2022 03:00
2454,14-04-2022 02:00,04-13-2022 05:00,14-04-2022 01:01,Ahmedabad,214,DOMESTIC VIOLENCE,31,X,Firearm,Violent Crime,12,Yes,28-06-2022 02:00
2455,15-04-2022 17:00,04-13-2022 06:00,13-04-2022 23:44,Kolkata,505,ILLEGAL POSSESSION,69,X,Knife,Other Crime,13,Yes,31-05-2022 17:00
2456,14-04-2022 03:00,04-13-2022 07:00,13-04-2022 10:56,Bangalore,559,ASSAULT,49,X,None,Violent Crime,14,Yes,09-07-2022 03:00
2457,15-04-2022 01:00,04-13-2022 08:00,13-04-2022 18:54,Agra,172,VANDALISM,28,F,Explosives,Other Crime,8,Yes,10-06-2022 01:00
2458,15-04-2022 18:00,04-13-2022 09:00,13-04-2022 15:02,Pune,444,ROBBERY,57,M,Knife,Violent Crime,5,Yes,23-09-2022 18:00
2459,13-04-2022 12:00,04-13-2022 10:00,14-04-2022 06:32,Delhi,218,VANDALISM,67,F,Blunt Object,Other Crime,13,Yes,22-06-2022 12:00
2460,15-04-2022 05:00,04-13-2022 11:00,13-04-2022 23:43,Mumbai,488,PUBLIC INTOXICATION,70,X,Firearm,Other Crime,1,Yes,19-04-2022 05:00
2461,13-04-2022 18:00,04-13-2022 12:00,13-04-2022 18:12,Bangalore,257,ROBBERY,58,X,None,Violent Crime,9,Yes,02-10-2022 18:00
2462,14-04-2022 07:00,04-13-2022 13:00,13-04-2022 22:36,Patna,505,VEHICLE - STOLEN,70,M,Other,Violent Crime,10,No,
2463,14-04-2022 14:00,04-13-2022 14:00,14-04-2022 07:11,Varanasi,130,KIDNAPPING,74,F,Firearm,Other Crime,3,No,
2464,15-04-2022 20:00,04-13-2022 15:00,13-04-2022 20:34,Hyderabad,536,ILLEGAL POSSESSION,50,X,Explosives,Other Crime,3,Yes,24-04-2022 20:00
2465,16-04-2022 01:00,04-13-2022 16:00,13-04-2022 17:35,Hyderabad,523,BURGLARY,19,M,Other,Other Crime,7,Yes,26-09-2022 01:00
2466,15-04-2022 02:00,04-13-2022 17:00,14-04-2022 00:26,Chennai,208,SHOPLIFTING,50,X,Firearm,Other Crime,3,No,
2467,14-04-2022 13:00,04-13-2022 18:00,14-04-2022 04:38,Mumbai,393,VANDALISM,76,X,Explosives,Other Crime,15,No,
2468,16-04-2022 08:00,04-13-2022 19:00,14-04-2022 17:07,Bangalore,233,KIDNAPPING,74,X,Firearm,Other Crime,13,No,
2469,14-04-2022 21:00,04-13-2022 20:00,14-04-2022 14:46,Patna,278,FRAUD,33,M,Blunt Object,Other Crime,8,Yes,27-06-2022 21:00
2470,14-04-2022 04:00,04-13-2022 21:00,14-04-2022 18:53,Nagpur,427,DOMESTIC VIOLENCE,72,F,Other,Violent Crime,18,No,
2471,15-04-2022 15:00,04-13-2022 22:00,14-04-2022 05:22,Nagpur,395,ARSON,17,X,Firearm,Fire Accident,10,No,
2472,16-04-2022 22:00,04-13-2022 23:00,14-04-2022 00:43,Nagpur,206,VANDALISM,30,X,Other,Other Crime,11,Yes,18-06-2022 22:00
2473,15-04-2022 21:00,04-14-2022 00:00,14-04-2022 17:29,Hyderabad,204,IDENTITY THEFT,45,M,Knife,Violent Crime,13,No,
2474,15-04-2022 00:00,04-14-2022 01:00,14-04-2022 06:39,Mumbai,175,SEXUAL ASSAULT,64,X,Firearm,Violent Crime,5,No,
2475,14-04-2022 22:00,04-14-2022 02:00,14-04-2022 19:11,Lucknow,102,HOMICIDE,29,X,Other,Other Crime,14,Yes,19-02-2023 22:00
2476,15-04-2022 13:00,04-14-2022 03:00,14-04-2022 22:57,Agra,290,SEXUAL ASSAULT,62,M,Poison,Violent Crime,10,No,
2477,15-04-2022 07:00,04-14-2022 04:00,14-04-2022 22:58,Delhi,293,ASSAULT,64,X,Explosives,Violent Crime,8,Yes,26-04-2022 07:00
2478,16-04-2022 09:00,04-14-2022 05:00,15-04-2022 01:37,Bangalore,459,CYBERCRIME,47,X,Explosives,Other Crime,9,No,
2479,16-04-2022 16:00,04-14-2022 06:00,14-04-2022 10:03,Thane,136,BURGLARY,54,M,Firearm,Other Crime,10,No,
2480,16-04-2022 17:00,04-14-2022 07:00,14-04-2022 10:33,Kalyan,282,FRAUD,37,F,Firearm,Other Crime,17,Yes,23-05-2022 17:00
2481,15-04-2022 11:00,04-14-2022 08:00,14-04-2022 20:11,Thane,188,SEXUAL ASSAULT,42,X,Blunt Object,Violent Crime,8,Yes,06-12-2023 11:00
2482,14-04-2022 10:00,04-14-2022 09:00,14-04-2022 13:07,Surat,101,COUNTERFEITING,18,F,Poison,Other Crime,2,No,
2483,15-04-2022 20:00,04-14-2022 10:00,14-04-2022 14:39,Pune,314,SHOPLIFTING,57,X,Blunt Object,Other Crime,19,Yes,23-05-2022 20:00
2484,16-04-2022 02:00,04-14-2022 11:00,14-04-2022 14:08,Mumbai,150,PUBLIC INTOXICATION,18,F,Firearm,Other Crime,3,Yes,15-05-2022 02:00
2485,15-04-2022 11:00,04-14-2022 12:00,14-04-2022 16:57,Surat,511,SEXUAL ASSAULT,78,X,Explosives,Violent Crime,11,Yes,30-10-2023 11:00
2486,15-04-2022 11:00,04-14-2022 13:00,15-04-2022 07:44,Chennai,306,VANDALISM,44,X,Explosives,Other Crime,18,Yes,27-05-2022 11:00
2487,15-04-2022 22:00,04-14-2022 14:00,14-04-2022 23:06,Kolkata,575,ILLEGAL POSSESSION,22,M,Firearm,Other Crime,3,Yes,13-05-2022 22:00
2488,15-04-2022 07:00,04-14-2022 15:00,14-04-2022 22:14,Kanpur,209,FIREARM OFFENSE,78,F,Explosives,Fire Accident,6,No,
2489,16-04-2022 07:00,04-14-2022 16:00,14-04-2022 19:53,Mumbai,460,ILLEGAL POSSESSION,70,F,Blunt Object,Other Crime,15,Yes,08-06-2022 07:00
2490,14-04-2022 21:00,04-14-2022 17:00,15-04-2022 04:20,Bhopal,571,VANDALISM,36,F,Poison,Other Crime,9,Yes,04-07-2022 21:00
2491,16-04-2022 01:00,04-14-2022 18:00,15-04-2022 14:55,Delhi,527,HOMICIDE,57,M,Explosives,Other Crime,12,Yes,08-10-2023 01:00
2492,14-04-2022 22:00,04-14-2022 19:00,15-04-2022 16:24,Agra,208,EXTORTION,24,F,Other,Other Crime,2,No,
2493,16-04-2022 09:00,04-14-2022 20:00,15-04-2022 17:44,Thane,485,SEXUAL ASSAULT,27,X,Firearm,Violent Crime,19,Yes,21-12-2023 09:00
2494,15-04-2022 13:00,04-14-2022 21:00,15-04-2022 02:24,Delhi,194,FRAUD,45,X,Poison,Other Crime,12,Yes,26-06-2022 13:00
2495,17-04-2022 12:00,04-14-2022 22:00,15-04-2022 03:03,Lucknow,218,VANDALISM,67,F,Poison,Other Crime,12,No,
2496,15-04-2022 12:00,04-14-2022 23:00,15-04-2022 04:11,Pune,136,ASSAULT,42,M,Poison,Violent Crime,4,Yes,02-07-2022 12:00
2497,15-04-2022 07:00,04-15-2022 00:00,15-04-2022 11:41,Agra,170,ARSON,36,M,Blunt Object,Fire Accident,8,Yes,25-05-2022 07:00
2498,16-04-2022 10:00,04-15-2022 01:00,15-04-2022 19:00,Kolkata,243,SEXUAL ASSAULT,23,X,None,Violent Crime,12,Yes,30-03-2023 10:00
2499,17-04-2022 16:00,04-15-2022 02:00,15-04-2022 07:57,Bangalore,202,ARSON,65,X,None,Fire Accident,14,No,
2500,18-04-2022 00:00,04-15-2022 03:00,15-04-2022 10:31,Ghaziabad,532,ASSAULT,19,M,Other,Violent Crime,7,No,
2501,16-04-2022 00:00,04-15-2022 04:00,15-04-2022 23:17,Delhi,113,FIREARM OFFENSE,37,M,None,Fire Accident,7,Yes,26-05-2022 00:00
2502,16-04-2022 10:00,04-15-2022 05:00,15-04-2022 20:56,Surat,586,HOMICIDE,16,X,Knife,Other Crime,8,Yes,23-02-2024 10:00
2503,16-04-2022 01:00,04-15-2022 06:00,15-04-2022 08:18,Delhi,541,PUBLIC INTOXICATION,16,F,Firearm,Other Crime,1,Yes,15-05-2022 01:00
2504,15-04-2022 13:00,04-15-2022 07:00,15-04-2022 23:15,Pune,130,EXTORTION,34,F,Poison,Other Crime,9,Yes,26-05-2022 13:00
2505,16-04-2022 13:00,04-15-2022 08:00,16-04-2022 00:51,Varanasi,228,PUBLIC INTOXICATION,31,X,Other,Other Crime,12,No,
2506,16-04-2022 08:00,04-15-2022 09:00,16-04-2022 08:24,Kolkata,599,ROBBERY,72,F,None,Violent Crime,4,Yes,25-05-2022 08:00
2507,17-04-2022 14:00,04-15-2022 10:00,16-04-2022 06:43,Chennai,599,PUBLIC INTOXICATION,28,M,Other,Other Crime,7,Yes,04-05-2022 14:00
2508,18-04-2022 05:00,04-15-2022 11:00,15-04-2022 20:52,Patna,194,ROBBERY,53,F,Blunt Object,Violent Crime,2,No,
2509,17-04-2022 12:00,04-15-2022 12:00,15-04-2022 12:58,Bangalore,587,ARSON,59,M,Poison,Fire Accident,5,Yes,15-07-2022 12:00
2510,18-04-2022 11:00,04-15-2022 13:00,16-04-2022 03:16,Jaipur,450,DOMESTIC VIOLENCE,32,M,Explosives,Violent Crime,13,Yes,28-05-2022 11:00
2511,17-04-2022 19:00,04-15-2022 14:00,16-04-2022 05:55,Visakhapatnam,590,ROBBERY,61,M,Explosives,Violent Crime,19,No,
2512,18-04-2022 09:00,04-15-2022 15:00,16-04-2022 11:46,Mumbai,268,ROBBERY,11,X,Poison,Violent Crime,13,No,
2513,16-04-2022 15:00,04-15-2022 16:00,16-04-2022 10:33,Agra,276,FIREARM OFFENSE,78,X,Poison,Fire Accident,6,Yes,24-06-2022 15:00
2514,16-04-2022 00:00,04-15-2022 17:00,16-04-2022 15:06,Pune,139,BURGLARY,11,X,None,Other Crime,1,Yes,14-09-2022 00:00
2515,16-04-2022 13:00,04-15-2022 18:00,15-04-2022 22:39,Nagpur,170,VEHICLE - STOLEN,68,F,Explosives,Violent Crime,13,Yes,03-05-2022 13:00
2516,16-04-2022 15:00,04-15-2022 19:00,15-04-2022 20:07,Rajkot,412,DOMESTIC VIOLENCE,40,M,Explosives,Violent Crime,7,Yes,16-05-2022 15:00
2517,16-04-2022 05:00,04-15-2022 20:00,16-04-2022 15:32,Mumbai,590,DOMESTIC VIOLENCE,59,M,Knife,Violent Crime,9,No,
2518,17-04-2022 15:00,04-15-2022 21:00,15-04-2022 21:16,Nagpur,493,TRAFFIC VIOLATION,47,F,Poison,Traffic Fatality,8,Yes,23-04-2022 15:00
2519,16-04-2022 07:00,04-15-2022 22:00,16-04-2022 05:49,Mumbai,452,SHOPLIFTING,47,M,Explosives,Other Crime,5,Yes,04-07-2022 07:00
2520,16-04-2022 17:00,04-15-2022 23:00,15-04-2022 23:01,Hyderabad,344,VANDALISM,22,M,Explosives,Other Crime,5,No,
2521,18-04-2022 13:00,04-16-2022 00:00,16-04-2022 03:51,Surat,272,ROBBERY,64,X,Explosives,Violent Crime,15,Yes,29-05-2022 13:00
2522,17-04-2022 23:00,04-16-2022 01:00,16-04-2022 13:20,Jaipur,598,ASSAULT,41,F,None,Violent Crime,14,Yes,03-06-2022 23:00
2523,18-04-2022 19:00,04-16-2022 02:00,16-04-2022 10:12,Bangalore,491,SHOPLIFTING,47,M,Blunt Object,Other Crime,12,Yes,30-06-2022 19:00
2524,18-04-2022 03:00,04-16-2022 03:00,16-04-2022 11:13,Bangalore,141,SEXUAL ASSAULT,22,X,None,Violent Crime,18,No,
2525,18-04-2022 18:00,04-16-2022 04:00,16-04-2022 09:40,Lucknow,168,DRUG OFFENSE,42,M,None,Other Crime,9,No,
2526,18-04-2022 19:00,04-16-2022 05:00,17-04-2022 00:30,Mumbai,540,VANDALISM,40,X,Poison,Other Crime,11,Yes,26-04-2022 19:00
2527,18-04-2022 13:00,04-16-2022 06:00,17-04-2022 01:15,Hyderabad,126,ARSON,67,M,Poison,Fire Accident,19,No,
2528,16-04-2022 18:00,04-16-2022 07:00,16-04-2022 16:10,Delhi,525,DRUG OFFENSE,60,X,Knife,Other Crime,16,No,
2529,16-04-2022 14:00,04-16-2022 08:00,16-04-2022 20:16,Kalyan,253,CYBERCRIME,51,X,Other,Other Crime,7,Yes,14-06-2022 14:00
2530,17-04-2022 21:00,04-16-2022 09:00,16-04-2022 19:13,Mumbai,475,DRUG OFFENSE,24,X,Firearm,Other Crime,6,Yes,11-07-2022 21:00
2531,16-04-2022 15:00,04-16-2022 10:00,17-04-2022 00:52,Delhi,395,COUNTERFEITING,15,M,Firearm,Other Crime,13,No,
2532,16-04-2022 22:00,04-16-2022 11:00,16-04-2022 14:07,Mumbai,392,FIREARM OFFENSE,27,M,Firearm,Fire Accident,9,Yes,20-05-2022 22:00
2533,19-04-2022 00:00,04-16-2022 12:00,16-04-2022 18:45,Ludhiana,259,ARSON,71,F,Other,Fire Accident,17,Yes,25-06-2022 00:00
2534,18-04-2022 05:00,04-16-2022 13:00,17-04-2022 09:35,Bangalore,453,FIREARM OFFENSE,33,X,Blunt Object,Fire Accident,9,Yes,02-05-2022 05:00
2535,16-04-2022 20:00,04-16-2022 14:00,16-04-2022 18:53,Delhi,216,EXTORTION,25,F,Knife,Other Crime,14,Yes,25-06-2022 20:00
2536,17-04-2022 23:00,04-16-2022 15:00,17-04-2022 02:46,Surat,386,BURGLARY,73,X,Firearm,Other Crime,15,No,
2537,16-04-2022 22:00,04-16-2022 16:00,16-04-2022 17:36,Bangalore,202,BURGLARY,57,X,Explosives,Other Crime,8,Yes,12-06-2022 22:00
2538,18-04-2022 21:00,04-16-2022 17:00,17-04-2022 10:35,Nashik,101,CYBERCRIME,14,F,Knife,Other Crime,1,Yes,10-07-2022 21:00
2539,17-04-2022 07:00,04-16-2022 18:00,17-04-2022 03:49,Indore,139,DOMESTIC VIOLENCE,77,X,None,Violent Crime,13,No,
2540,19-04-2022 07:00,04-16-2022 19:00,17-04-2022 01:17,Chennai,370,VEHICLE - STOLEN,34,M,Poison,Violent Crime,10,Yes,28-06-2022 07:00
2541,18-04-2022 18:00,04-16-2022 20:00,16-04-2022 20:43,Surat,368,DOMESTIC VIOLENCE,58,M,Firearm,Violent Crime,12,Yes,11-06-2022 18:00
2542,17-04-2022 12:00,04-16-2022 21:00,17-04-2022 20:08,Visakhapatnam,563,PUBLIC INTOXICATION,43,X,Firearm,Other Crime,3,Yes,24-04-2022 12:00
2543,19-04-2022 10:00,04-16-2022 22:00,17-04-2022 04:32,Jaipur,122,IDENTITY THEFT,22,M,None,Violent Crime,7,No,
2544,18-04-2022 22:00,04-16-2022 23:00,17-04-2022 02:02,Patna,128,SEXUAL ASSAULT,42,F,Poison,Violent Crime,5,Yes,21-03-2024 22:00
2545,19-04-2022 07:00,04-17-2022 00:00,17-04-2022 04:02,Delhi,509,EXTORTION,75,X,Poison,Other Crime,15,Yes,15-05-2022 07:00
2546,18-04-2022 14:00,04-17-2022 01:00,17-04-2022 12:06,Mumbai,414,FIREARM OFFENSE,11,F,Poison,Fire Accident,18,Yes,28-04-2022 14:00
2547,18-04-2022 03:00,04-17-2022 02:00,17-04-2022 12:20,Delhi,439,FRAUD,14,X,Knife,Other Crime,8,Yes,10-07-2022 03:00
2548,19-04-2022 01:00,04-17-2022 03:00,17-04-2022 22:41,Surat,183,ASSAULT,73,F,None,Violent Crime,11,Yes,16-05-2022 01:00
2549,19-04-2022 14:00,04-17-2022 04:00,17-04-2022 04:16,Pune,396,VEHICLE - STOLEN,29,F,Knife,Violent Crime,11,Yes,03-05-2022 14:00
2550,18-04-2022 07:00,04-17-2022 05:00,17-04-2022 11:49,Bangalore,461,DRUG OFFENSE,39,M,Poison,Other Crime,3,No,
